Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003.0,-202.9667866325248,-196.09022956572235,-194.70490236096222,-196.21231484174584,-195.3968639199521,-193.66032229105627,-183.04594952628352,-180.8660093003477,-168.2826421718716,-134.7292657382764,1.0,-155.92292874645585
2004.0,-164.11321515886155,-176.47273274704077,-176.49204163895516,-186.2297148281492,-199.19609608227535,-193.88308468372614,-203.8924558784139,-198.94475918747884,-208.7371443114707,-198.65237656479064,-207.7198198066821,-209.26663358044564
2005.0,-209.047105214409,-207.91087976169976,-211.71219324653904,-216.9365388482234,-222.82786313533174,-227.20360135159123,-219.26884395106586,-214.87543205985068,-215.7056575638851,-217.80827908746596,-213.7635533359113,-216.75392626856424
2006.0,-226.46808110646236,-234.35615927737882,-237.54954490033228,-234.5839704103272,-246.02825274428096,-240.77302518401058,-249.5153559953238,-247.9945335130325,-246.3181297122657,-235.94013998802572,-229.4391848501986,-238.2013143703779
2007.0,-244.83175838520017,-242.73403134988823,-245.27471800688218,-253.7436040729962,-265.89258948873544,-269.68398956349046,-262.0220287622687,-253.35539724324073,-254.38098417694624,-236.09817575626022,-238.56675389414664,-238.70679963545777
2008.0,-247.40849860098845,-253.5798636007094,-264.10347228988024,-273.9086748781433,-286.1709137586278,-284.75582107960247,-254.8835111897249,-258.53665671093336,-233.11539779214505,-219.79240390322093,-231.00360114126238,-240.28981872444808
2009.0,-260.4065981971849,-269.12730021610264,-283.37976777042184,-289.31226485904085,-296.1789453623092,-301.64861102529693,-306.2806216517881,-313.5626457605125,-288.5018681200105,-272.40439152553233,-289.0815305903055,-287.63130999015476
2010.0,-287.5302468475365,-289.28389598799106,-290.7686914493386,-299.97104233903315,-308.18968822465166,-318.3190277506011,-297.2630252176753,-269.22659940052995,-290.730384257484,-268.3252474841168,-274.2856660008618,-281.0637369282205
2011.0,-294.39295896660354,-300.13514019439566,-309.6492823597233,-315.930479052943,-331.9117113109396,-337.1924868839697,-291.7171331943437,-291.0469502719425,-293.6028933784234,-301.0466378744748,-318.0596804176442,-318.7148649206294
2012.0,-318.665180095071,-311.24164671871284,-319.3364396037424,-327.16316228292095,-334.51989279757987,-336.7862701536241,-326.1583916948226,-307.9887107738972,-318.20148147708557,-325.3462849994697,-331.6906301418862,-344.1051365315306
2013.0,-354.2299768115702,-364.3000398437769,-372.4498795085122,-368.6911430166563,-372.1020863584216,-369.6400898063931,-366.6943653048162,-369.1415966974263,-351.1454977691602,-308.7316888586348,-299.84417525233476,-312.16318071730234
2014.0,-310.8754577221224,-324.1446495893996,-324.11663468962564,-331.8740319724459,-346.4168044033775,-343.838231525464,-333.8859822862408,-333.48381009449594,-305.2497939548887,-296.6604011234233,-293.19426354952657,-307.8035117805137
2015.0,-307.1711408637175,-297.51786251105875,-326.42169791641237,-333.9912855360393,-342.1018120469026,-345.5011330961475,-324.73210846603536,-327.216377670894,-333.5428260026908,-341.8658290679994,-347.476810603705,-357.75695293596107
2016.0,-371.23293558099033,-380.25715378959643,-377.3921729640077,-385.94842850867843,-406.060057585297,-375.43178669271487,-368.9656700662898,-329.94572488754625,-330.15466968626095,-338.39208644433575,-343.82175883440675,-343.02196970125243
2017.0,-364.0914044285899,-375.8432847192689,-385.0235098747839,-409.3298940665566,-425.3059479520566,-422.7192207715162,-415.06397379925295,-414.6582424954289,-406.4775682076181,-393.69786959835767,-402.44075967548724,-412.53052506930067
2018.0,-422.5388984670994,-430.88729326169243,-438.78329536548654,-445.08991593849396,-447.7858497258044,-440.12825016792357,-422.1256100678706,-430.52889595843436,-432.5546297884096,-417.8519127457274,-415.35879627019335,-410.8232651435146
2019.0,-420.712008071564,-431.751508909337,-437.673317384795,-450.76435703055677,-454.9779588717255,-430.02375254829644,-416.0057692755484,-424.25265452420183,-420.2110986309508,-439.31012892102785,-407.49327275654406,-431.6314500828569
