Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003.0,-17.50874901243123,-16.93906754838745,-16.147597705830666,-14.286704334161781,-9.754361097531222,-10.654655562252625,-13.074725364376237,-15.491533810184889,-17.397388977476254,-19.469904336080205,-21.27736323628638,-21.19580117181359
2004.0,-16.182611492233473,-18.608629870175857,-26.652403714594794,-27.27113553849408,-24.860294721236006,-22.18165867138252,-22.98043276673911,-25.331168383984377,-25.392742357931194,-28.31737546483795,-31.23958057358119,-32.6798497221524
2005.0,-33.76582463591548,-33.805624420224454,-37.25921043162715,-43.078846798672366,-45.62705564308497,-45.71519099257156,-44.68238676591732,-45.58550756529305,-45.916394637245645,-45.917753191459454,-46.886641779387695,-43.07974695154352
2006.0,-39.28661058599692,-35.29618047637154,-39.86172060763699,-42.76239393789228,-42.58765946492699,-43.691672546280245,-43.89628380470403,-43.667874245430056,-45.42137037739063,-48.686473349752184,-51.17209978227499,-51.393121536877935
2007.0,-37.588119630090034,-39.68576641296674,-33.59616545997451,-35.677479227499795,-32.895463706833944,-33.16995945778912,-33.865137419326345,-33.779374112850604,-33.77462182006307,-34.643361509516126,-33.35545077381925,-20.664789728113508
2008.0,-19.732099467328705,-20.049473004033025,-17.793369418793116,-20.481549441400492,-19.59691067922345,-23.10720778572565,-26.108167138734355,-26.952415097878532,-27.556587257612467,-30.97179682115146,-33.319030669862066,-33.46482504012499
2009.0,-18.300670168749313,-19.114178284699747,-15.670211803708098,-15.668902974014925,-14.48298169764334,-19.70524741540369,-24.31455273007453,-23.231415019981338,-23.49000892102338,-26.87582690104719,-28.82422859552401,-29.543350808559588
2010.0,-26.121915025530964,-19.986058696353883,-4.853675317981967,-9.350048863241817,-9.969298238726928,-11.866893460424253,-13.692953082384163,-15.00877762708927,-14.231112909272127,-18.61965489485385,-22.906089261978497,-19.526455279845166
2011.0,-19.673762445141598,-23.481018274107015,-18.73332119017825,-25.068844237579757,-25.769432752353826,-26.38230376682967,-27.684782864440077,-26.576067464009373,-26.41773684028282,-27.1261702264422,-27.85965201176567,-29.441338416334553
2012.0,-17.85818540374967,-15.94927659181799,-15.181505230139322,-17.40361145230362,-18.79118437572549,-21.391953587878543,-23.466450023378407,-23.148328030309905,-22.915214403747246,-25.049212504090395,-27.521835589853662,-21.260767008979574
2013.0,-18.22928019653281,-16.809848412027684,-16.878190704798616,-19.06291627107114,-23.089046745391766,-26.626183537887247,-27.8550937219588,-28.534765063731157,-29.703195362389568,-30.940654900101908,-32.836381877343385,-36.54211147663908
2014.0,-32.220804114467,-28.454517724766976,-33.76531787269661,-35.14799334073942,-35.69253996365236,-37.9158065857996,-38.683026456703736,-38.22853395613793,-39.25254690355886,-40.608791403722165,-43.877196060373656,-43.91054466838429
2015.0,-42.5385712086095,-33.037955251033466,-35.00439183300584,-33.16415067821871,-32.373875259575655,-32.675529925148886,-33.418264645589396,-32.59849967853472,-32.65925792434004,-34.072352678140916,-35.866560091823786,-36.49442498980945
2016.0,-36.31771551372032,-34.75118663667515,-30.834852198480636,-32.11821923349537,-32.82555866818057,-33.9945199767455,-33.91877882975531,-35.253718504875,-36.026394726296886,-37.59650031350453,-41.31409785723467,-41.31111417817873
2017.0,-40.242715393649206,-38.89432939926147,-35.95180414485415,-35.140391196213365,-38.773487518628315,-38.71798713009593,-39.095649109799446,-39.68499539107159,-40.710649735074156,-42.042477075222756,-43.47284854681262,-43.870731852316986
2018.0,-41.93094523157914,-28.192245278999632,-28.7475876210349,-28.87387029901453,-28.215796929761478,-33.063194092225366,-36.03496357733896,-33.67981287478536,-34.62677831462855,-38.252632040968905,-38.48242650831173,-41.02039106345693
2019.0,-30.735965146394168,-34.69446362084605,-36.09663312576824,-37.88449751896401,-38.53798222294543,-40.25324168740185,-39.433275819909234,-41.88948847953555,-43.40440713743501,-44.16884661115807,-46.21106638779396,-46.006472933103986
